Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-adjusted rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Sussex Health Centre (N.B.),New Brunswick,Horizon Health Network (N.B.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.6,per 100,6.05,11.84,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
The Moncton Hospital (N.B.),New Brunswick,Horizon Health Network (N.B.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.6,per 100,7.93,9.24,-,No,,,,-,-,Urban,Community—Large,Not applicable,-,"October 14, 2025"
Three Hills Health Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.6,per 100,5.95,12.02,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Tofield Health Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.6,per 100,5.85,12.22,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Viking Health Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.6,per 100,5.72,12.45,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
West Haldimand General Hospital (Ont.),Ontario,West Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.6,per 100,5.84,12.21,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Western Memorial Regional Hospital (N.L.),Newfoundland and Labrador,Western Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.6,per 100,7.71,9.54,-,No,,,,-,-,Urban,Community—Large,Not applicable,-,"October 14, 2025"
Western Zone (N.L.),Newfoundland and Labrador,Western Zone (N.L.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.6,per 100,7.86,9.44,-,No,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Windsor Regional Hospital (Ont.),Ontario,West Region (Ont.),Windsor Regional Hospital (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.6,per 100,8.22,9.06,-,No,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
Winnipeg–Churchill Health Region (Man.),Manitoba,Winnipeg–Churchill Health Region (Man.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.6,per 100,8.30,8.99,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Prince Edward Island,Prince Edward Island,-,-,Province/territory,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.54,8.76,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Barrhead Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,5.65,11.29,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Bethesda Regional Health Centre (Man.),Manitoba,Southern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,6.51,9.95,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Big Country Hospital (Alta.),Alberta,South Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,4.72,12.99,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Biggar and District Health Centre (Sask.),Saskatchewan,South West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,4.43,13.61,-,No,Same as average performance,No change,Not a top result,-,16.3,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
Bluewater Health (Ont.),Ontario,West Region (Ont.),Bluewater Health (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.43,8.71,-,No,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
Brooks Health Centre (Alta.),Alberta,South Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,6.08,10.61,-,No,,,,-,-,Urban,Community—Small,Not applicable,-,"October 14, 2025"
Cambridge Memorial Hospital Corporation (Ont.),Ontario,West Region (Ont.),Cambridge Memorial Hospital Corporation (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.38,8.88,-,Yes,,,,-,-,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
Cambridge Memorial Hospital Corporation (Ont.),Ontario,West Region (Ont.),Cambridge Memorial Hospital Corporation (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.42,8.82,-,Yes,Above average performance,No change,Top result,-,607.3,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
Campbellton Regional Hospital (N.B.),New Brunswick,Vitalité Health Network (N.B.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,6.91,9.46,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Capitale-Nationale Region (Que.),Quebec,Capitale-Nationale Region (Que.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.90,8.36,-,Yes,Above average performance,No change,,-,"5,460.7",Not applicable,-,Not applicable,-,"October 14, 2025"
Carman Memorial Hospital (Man.),Manitoba,Southern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,5.11,12.11,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Chaudière-Appalaches Region (Que.),Quebec,Chaudière-Appalaches Region (Que.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.70,8.49,-,Yes,Above average performance,No change,,-,"1,908.5",Not applicable,-,Not applicable,-,"October 14, 2025"
CHU de Québec - Université Laval (Que.),Quebec,Capitale-Nationale Region (Que.),CHU de Québec - Université Laval (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.84,8.42,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,"Data previously attributed to Centre hospitalier affilié universitaire de Québec (Que.) and Centre hospitalier universitaire de Québec (Que.) will now be attributed to CHU de Québec - Université Laval (Que.) as of July 08, 2012. Please interpret trends with caution.","October 14, 2025"
CHU de Québec - Université Laval (Que.),Quebec,Capitale-Nationale Region (Que.),CHU de Québec - Université Laval (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.77,8.34,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,"Data previously attributed to Centre hospitalier affilié universitaire de Québec (Que.) and Centre hospitalier universitaire de Québec (Que.) will now be attributed to CHU de Québec - Université Laval (Que.) as of July 08, 2012. Please interpret trends with caution.","October 14, 2025"
CISSS de Chaudière-Appalaches (Que.),Quebec,Chaudière-Appalaches Region (Que.),CISSS de Chaudière-Appalaches (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.70,8.49,-,Yes,Above average performance,No change,,-,"1,908.5",Not applicable,Community—Large,Not applicable,"Data previously attributed to Centre jeunesse Chaudière-Appalaches (Que.), CR en alcoolisme et toxicomanie de Chaudière-Appalaches (Que.), CR en déficience intellectuelle Chaudière-Appalaches (Que.), CR en déficience physique Chaudière-Appalaches (Que.), CSSS Alphonse-Desjardins (Que.), CSSS de Beauce (Que.), CSSS de la région de Thetford (Que.), CSSS de Montmagny-L’Islet (Que.) and CSSS des Etchemins (Que.) will now be attributed to CISSS de Chaudière-Appalaches (Que.) as of April 01, 2015. Please interpret trends with caution.","October 14, 2025"
CISSS de la Montérégie-Ouest (Que.),Quebec,Montérégie Region (Que.),CISSS de la Montérégie-Ouest (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.55,8.62,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,"Data previously attributed to Centre montérégien de réadaptation (Que.), CR en déficience intellectuelle Montérégie-Est (Que.), CSSS de Vaudreuil-Soulanges (Que.), CSSS du Haut-Saint-Laurent (Que.), CSSS du Suroît (Que.), CSSS Jardins-Roussillon (Que.), Le Virage, réadaptation en alcoolisme et toxicomanie (Que.), Les services de réadaptation du Sud-Ouest et du Renfort (Que.) and Pavillon Foster (Que.) will now be attributed to CISSS de la Montérégie-Ouest (Que.) as of April 01, 2015. Please interpret trends with caution.","October 14, 2025"
CISSS des Laurentides (Que.),Quebec,Laurentides Region (Que.),CISSS des Laurentides (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.77,8.38,-,Yes,Above average performance,No change,,-,"3,147.1",Not applicable,Community—Large,Not applicable,"Data previously attributed to Centre André-Boudreau (Que.), Centre du Florès (Que.), Centre jeunesse des Laurentides (Que.), CSSS d’Antoine-Labelle (Que.), CSSS d’Argenteuil (Que.), CSSS de Saint-Jérôme (Que.), CSSS de Thérèse-De Blainville (Que.), CSSS des Pays-d’en-Haut (Que.), CSSS des Sommets (Que.) and CSSS du Lac-des-Deux-Montagnes (Que.) will now be attributed to CISSS Des Laurentides (Que.) as of April 01, 2015. Please interpret trends with caution.","October 14, 2025"
Covenant Health Grey Nuns Community Hospital (Alta.),Alberta,Edmonton Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.53,8.60,-,Yes,Above average performance,No change,Not a top result,-,"1,029.3",Urban,Teaching,Not applicable,-,"October 14, 2025"
Covenant Health St. Joseph’s General Hospital (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,5.52,11.40,-,No,Same as average performance,No change,Not a top result,-,37.4,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Dartmouth General Hospital (N.S.),Nova Scotia,Central Zone (N.S.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.22,9.00,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Dartmouth General Hospital (N.S.),Nova Scotia,Central Zone (N.S.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.28,8.95,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Dartmouth General Hospital (N.S.),Nova Scotia,Central Zone (N.S.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.41,8.89,-,Yes,Above average performance,No change,Not a top result,-,546.0,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
DeSalaberry District Health Centre (Man.),Manitoba,Southern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,3.72,15.46,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Dr. A. A. Wilkinson Memorial Health Centre (N.L.),Newfoundland and Labrador,Eastern–Rural Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,3.23,16.63,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Dr. F.H. Wigmore Regional Hospital (Sask.),Saskatchewan,South West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.06,9.25,-,No,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Halton Healthcare Services (Ont.),Ontario,Central Region (Ont.),Halton Healthcare Services (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.67,8.53,-,Yes,,,,-,-,Not applicable,Community—Large,Not applicable,-,"October 14, 2025"
Lady Minto Gulf Islands Hospital (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,5.30,11.90,-,No,,,,-,-,Rural/remote,Community—Small,Small,-,"October 14, 2025"
Lamont Health Care Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,4.60,13.09,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Laurentides Region (Que.),Quebec,Laurentides Region (Que.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.77,8.38,-,Yes,Above average performance,No change,,-,"3,147.1",Not applicable,-,Not applicable,-,"October 14, 2025"
McGill University Health Centre (Que.),Quebec,Montréal Region (Que.),McGill University Health Centre (Que.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.78,8.50,-,Yes,,,,-,-,Not applicable,Teaching,Not applicable,-,"October 14, 2025"
North Wellington Health Care Corporation (Ont.),Ontario,West Region (Ont.),North Wellington Health Care Corporation (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,6.42,10.03,-,No,,,,-,-,Not applicable,Community—Small,Not applicable,-,"October 14, 2025"
Northern Health Region (Man.),Manitoba,Northern Health Region (Man.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.06,9.21,-,No,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Notre Dame Hospital (Man.),Manitoba,Southern Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,4.18,14.16,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
O’Leary Community Hospital (P.E.I.),Prince Edward Island,Health PEI (P.E.I.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,4.32,13.90,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Peter Lougheed Centre (Alta.),Alberta,Calgary Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.65,8.48,-,Yes,Above average performance,No change,Top result,-,"1,714.4",Urban,Teaching,Not applicable,-,"October 14, 2025"
Porcupine Carragana Hospital (Sask.),Saskatchewan,North Central East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,3.23,16.61,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Port McNeill and District Hospital (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,3.89,14.94,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Queen Elizabeth Hospital (P.E.I.),Prince Edward Island,Health PEI (P.E.I.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.35,8.97,-,Yes,,,,-,-,Urban,Community—Large,Not applicable,-,"October 14, 2025"
Raymond Health Centre (Alta.),Alberta,South Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,5.35,11.81,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Rosetown and District Health Centre (Sask.),Saskatchewan,South West Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,5.18,12.04,-,No,Same as average performance,No change,Not a top result,-,28.0,Rural/remote,Community—Small,Medium,-,"October 14, 2025"
Sturgeon Community Hospital (Alta.),Alberta,Edmonton Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.32,8.87,-,Yes,,,,-,-,Urban,Community—Large,Not applicable,-,"October 14, 2025"
The Moncton Hospital (N.B.),New Brunswick,Horizon Health Network (N.B.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.55,8.74,-,Yes,Above average performance,Weakening,Top result,-,846.6,Urban,Community—Large,Not applicable,-,"October 14, 2025"
Three Hills Health Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,5.40,11.57,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Tofino General Hospital (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,5.28,11.85,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Valleyview Health Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,5.54,11.43,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Winnipeg–Churchill Health Region (Man.),Manitoba,Winnipeg–Churchill Health Region (Man.),-,Health region,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,8.1,per 100,7.78,8.44,-,Yes,Above average performance,Weakening,Top result,-,"2,719.2",Not applicable,-,Not applicable,-,"October 14, 2025"
Yukon,Yukon,-,-,Province/territory,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,9.64,12.30,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Nunavut,Nunavut,-,-,Province/territory,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,9.12,12.95,-,Yes,,,,-,-,Not applicable,-,Not applicable,-,"October 14, 2025"
Nunavut,Nunavut,-,-,Province/territory,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.83,13.32,-,No,Same as average performance,No change,,-,83.1,Not applicable,-,Not applicable,-,"October 14, 2025"
Bulkley Valley District Hospital (B.C.),British Columbia,Northern Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.64,13.59,-,No,Same as average performance,No change,Not a top result,-,68.4,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Charlotte County Hospital (N.B.),New Brunswick,Horizon Health Network (N.B.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.43,13.82,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Children’s Hospital of Eastern Ontario (Ont.),Ontario,East Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,9.93,11.86,-,Yes,,,,-,-,Urban,Teaching,Not applicable,-,"October 14, 2025"
Cornwall Community Hospital (Ont.),Ontario,East Region (Ont.),Cornwall Community Hospital (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,10.10,11.78,-,Yes,,,,-,-,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
Cornwall Community Hospital (Ont.),Ontario,East Region (Ont.),Cornwall Community Hospital (Ont.),Corporation,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,10.08,11.66,-,Yes,,,,-,-,Not applicable,Community—Medium,Not applicable,-,"October 14, 2025"
Cowichan District Hospital (B.C.),British Columbia,Island Health (B.C.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2022–2023,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,10.10,11.85,-,Yes,,,,-,-,Urban,Community—Medium,Not applicable,-,"October 14, 2025"
Daysland Health Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,7.66,15.15,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Deloraine Health Centre (Man.),Manitoba,Prairie Mountain Health Region (Man.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,5.97,18.33,-,No,Same as average performance,No change,Not a top result,-,12.1,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Dr. Y.K. Jeon Kittiwake Health Centre (N.L.),Newfoundland and Labrador,Central Zone (N.L.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2020–2021,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,5.79,18.61,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Drayton Valley Hospital and Care Centre (Alta.),Alberta,Central Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2023–2024,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,8.27,14.02,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Elk Point Healthcare Centre (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,6.96,16.17,-,No,Same as average performance,No change,Not a top result,-,20.8,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Emmanuel Health - St. Paul’s Hospital (Sask.),Saskatchewan,Saskatoon Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,10.25,11.54,-,Yes,Below average performance,Weakening,Not a top result,-,962.6,Urban,Teaching,Not applicable,-,"October 14, 2025"
Fairview Health Complex (Alta.),Alberta,North Zone (Alta.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,7.69,14.91,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
Hospital for Sick Children (Ont.),Ontario,Toronto Region (Ont.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2024–2025,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,10.29,11.50,-,Yes,Below average performance,No change,Not a top result,-,"1,096.1",Urban,Teaching,Not applicable,-,"October 14, 2025"
Indian Head Hospital (Sask.),Saskatchewan,South East Zone (Sask.),-,Facility,All Patients Readmitted to Hospital,Fiscal year,2021–2022,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,10.9,per 100,7.77,14.82,-,No,,,,-,-,Rural/remote,Community—Small,Not applicable,-,"October 14, 2025"
