Place or organization,Province/territory,Region,Corporation,Reporting level,Indicator,Time scale,Time frame,Level 1 breakdown,Level 1 breakdown value,Level 2 breakdown,Level 2 breakdown value,Level 3 breakdown,Level 3 breakdown value,Risk-Adjusted Rate,Unit of measure,Confidence interval lower limit,Confidence interval upper limit,Numerator,Statistically different,Performance comparison,Performance trend,Top results,Denominator,Crude rate,Rate Ratio (Income),Potential Rate Reduction (Income),Expected,Urban or rural/remote,Hospital peer group,Long-Term Care Facility Size,Trend note,Refresh date
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Age group,75 to 84,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,8.8,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,22.1,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,16.2,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,16.6,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,13.7,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,16.5,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,13.3,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,14.8,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,19.6,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,15.2,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,9.3,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,18.8,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,11.9,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,10.8,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,9.4,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,10.6,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,9.7,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,9.7,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,8.2,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,8.3,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,6.7,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,7.1,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,10.8,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Recorded sex or gender,Male,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,7.7,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Recorded sex or gender,Male,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,5.9,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Recorded sex or gender,Male,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,7.8,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Recorded sex or gender,Male,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,7.6,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Recorded sex or gender,Male,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,7.9,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Recorded sex or gender,Male,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,6.0,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Recorded sex or gender,Male,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,6.9,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Recorded sex or gender,Male,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,6.0,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Recorded sex or gender,Male,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,8.2,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Recorded sex or gender,Male,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,6.3,-,-,-,-,-,-,-,"October 20, 2025"
Manitoba,Manitoba,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Recorded sex or gender,Male,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,6.1,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Age group,18 to 44,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,9.8,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Age group,18 to 44,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,4.5,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Age group,18 to 44,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,15.1,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Age group,18 to 44,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,4.8,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Age group,18 to 44,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,6.7,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Age group,18 to 44,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,3.8,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Age group,18 to 44,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,4.8,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Age group,18 to 44,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,3.6,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Age group,18 to 44,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,5.8,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Age group,18 to 44,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,3.6,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Age group,18 to 44,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,7.1,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Age group,45 to 64,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,6.1,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Age group,45 to 64,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,6.3,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Age group,45 to 64,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,8.8,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Age group,45 to 64,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,5.5,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Age group,45 to 64,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,8.5,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Age group,45 to 64,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,5.6,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Age group,45 to 64,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,6.9,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Age group,45 to 64,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,5.2,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Age group,45 to 64,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,6.1,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Age group,45 to 64,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,6.4,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Age group,45 to 64,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,7.0,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Age group,65 to 74,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,9.6,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Age group,65 to 74,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,11.1,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Age group,65 to 74,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,12.3,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Age group,65 to 74,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,9.8,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Age group,65 to 74,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,10.9,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Age group,65 to 74,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,8.1,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Age group,65 to 74,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,12.2,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Age group,65 to 74,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,8.5,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Age group,65 to 74,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,9.2,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Age group,65 to 74,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,8.2,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Age group,65 to 74,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,8.6,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Age group,75 to 84,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,10.5,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Age group,75 to 84,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,18.6,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Age group,75 to 84,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,12.5,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Age group,75 to 84,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,21.4,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Age group,75 to 84,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,15.9,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Age group,75 to 84,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,16.0,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Age group,75 to 84,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,11.9,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Age group,75 to 84,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,10.9,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Age group,75 to 84,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,10.2,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Age group,75 to 84,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,10.2,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Age group,75 to 84,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,10.8,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,20.5,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,17.5,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,22.2,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,15.4,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,16.5,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,19.2,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,13.1,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,15.9,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,19.7,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,10.0,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Age group,85+,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,16.2,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,13.7,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,11.2,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2016–2017,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,16.0,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2017–2018,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,14.4,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2018–2019,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,13.5,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2019–2020,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,12.8,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2020–2021,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,11.0,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2021–2022,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,10.7,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2022–2023,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,11.3,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2023–2024,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,10.5,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2024–2025,Recorded sex or gender,Female,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,11.5,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2014–2015,Recorded sex or gender,Male,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,8.2,-,-,-,-,-,-,-,"October 20, 2025"
Saskatchewan,Saskatchewan,-,-,Province/territory,30-Day Acute Myocardial Infarction Readmission,Fiscal year,2015–2016,Recorded sex or gender,Male,Not applicable,Not applicable,Not applicable,Not applicable,-,,,,-,,,,,-,11.7,-,-,-,-,-,-,-,"October 20, 2025"
